season,player_id,first_name,last_name,player_name,position_x,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,person_id,position_y
2004,2772,Trevor,Ariza,Trevor Ariza,SG-SF,79.0,6' 7'',80.25,6' 8.25'',201.0,86.0,7' 2'',107.5,8' 11.5'',8.0,,,29.5,32.0,11.63,,3.29,8.0,,,,,,,,,,,,,,,,,,,,,,,,2772.0,Forward
2004,2857,Andre,Barrett,Andre Barrett,PG,68.75,5' 8.75'',69.75,5' 9.75'',171.0,73.0,6' 1'',92.0,7' 8'',6.7,,,29.0,34.5,10.63,,3.08,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,101138,Brandon,Bass,Brandon Bass,PF,78.25,6' 6.25'',79.25,6' 7.25'',246.0,86.5,7' 2.5'',106.5,8' 10.5'',9.3,,,31.5,33.0,11.61,,3.24,18.0,,,,,,,,,,,,,,,,,,,,,,,,101138.0,Forward
2004,12173,Brian,Boddicker,Brian Boddicker,SF-PF,79.5,6' 7.5'',80.75,6' 8.75'',230.0,82.0,6' 10'',105.5,8' 9.5'',11.2,,,28.0,30.0,10.93,,3.25,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12174,Tim,Bowers,Tim Bowers,PG-SG,72.5,6' 0.5'',73.75,6' 1.75'',181.0,81.0,6' 9'',98.0,8' 2'',2.6,,,37.0,43.5,11.24,,3.21,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2810,Andre,Brown,Andre Brown,PF-C,80.0,6' 8'',81.5,6' 9.5'',236.0,83.0,6' 11'',107.0,8' 11'',6.0,,,32.0,35.5,11.7,,3.22,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2866,Jackie,Butler,Jackie Butler,C,80.0,6' 8'',81.5,6' 9.5'',263.0,85.5,7' 1.5'',109.0,9' 1'',16.3,,,23.0,25.0,13.32,,3.4,14.0,,,,,,,,,,,,,,,,,,,,,,,,2866.0,Center
2004,12175,Aleksandar,Capin,Aleksandar Capin,PG,72.0,6' 0'',73.25,6' 1.25'',176.0,73.5,6' 1.5'',94.0,7' 10'',9.3,,,23.0,29.0,11.5,,3.27,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,12176,Ales,Chan,Ales Chan,C,84.0,7' 0'',86.0,7' 2'',255.0,87.0,7' 3'',113.0,9' 5'',14.8,,,21.0,29.0,12.9,,3.62,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2735,Josh,Childress,Josh Childress,SG-SF,77.75,6' 5.75'',79.25,6' 7.25'',196.0,83.0,6' 11'',105.0,8' 9'',9.3,,,29.0,36.0,11.95,,3.38,11.0,,,,,,,,,,,,,,,,,,,,,,,,2735.0,Forward-Guard
2004,200555,TJ,Cummings,TJ Cummings,SF,79.5,6' 7.5'',80.75,6' 8.75'',215.0,81.5,6' 9.5'',106.5,8' 10.5'',6.7,,,27.0,31.0,11.58,,3.12,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2845,Erik,Daniels,Erik Daniels,SF-PF,78.25,6' 6.25'',79.5,6' 7.5'',223.0,83.0,6' 11'',106.0,8' 10'',18.5,,,31.0,32.0,11.38,,3.19,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2736,Luol,Deng,Luol Deng,SF,79.0,6' 7'',80.0,6' 8'',220.0,84.5,7' 0.5'',108.5,9' 0.5'',6.7,,,27.5,31.5,11.46,,3.34,5.0,,,,,,,,,,,,,,,,,,,,,,,,2736.0,Forward
2004,12177,Marcus,Douthit,Marcus Douthit,C-PF,81.5,6' 9.5'',83.0,6' 11'',223.0,88.0,7' 4'',111.5,9' 3.5'',13.7,,,25.5,31.5,11.64,,3.34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2768,Chris,Duhon,Chris Duhon,PG,72.0,6' 0'',73.25,6' 1.25'',193.0,78.5,6' 6.5'',98.0,8' 2'',6.7,,,31.5,35.0,10.45,,3.14,7.0,,,,,,,,,,,,,,,,,,,,,,,,2768.0,Guard
2004,2824,Desmon,Farmer,Desmon Farmer,SG,76.5,6' 4.5'',77.75,6' 5.75'',214.0,80.5,6' 8.5'',103.0,8' 7'',5.3,,,24.0,31.0,10.89,,3.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,2824.0,Guard
2004,2784,Luis,Flores,Luis Flores,PG-SG,72.5,6' 0.5'',73.75,6' 1.75'',202.0,79.5,6' 7.5'',98.5,8' 2.5'',6.0,,,29.0,32.0,10.97,,3.1,15.0,,,,,,,,,,,,,,,,,,,,,,,,2784.0,Guard
2004,2782,Matt,Freije,Matt Freije,SF-PF,80.25,6' 8.25'',81.5,6' 9.5'',234.0,85.0,7' 1'',108.5,9' 0.5'',10.8,,,29.5,31.0,11.15,,3.25,13.0,,,,,,,,,,,,,,,,,,,,,,,,2782.0,Forward
2004,12178,Chris,Garnett,Chris Garnett,C-PF,80.25,6' 8.25'',81.75,6' 9.75'',260.0,85.0,7' 1'',108.0,9' 0'',14.8,,,27.0,31.5,11.75,,3.36,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
2004,101155,Ryan,Gomes,Ryan Gomes,SF-PF,78.5,6' 6.5'',79.75,6' 7.75'',248.0,86.0,7' 2'',106.5,8' 10.5'',6.7,,,26.5,30.5,12.49,,3.24,9.0,,,,,,,,,,,,,,,,,,,,,,,,101155.0,Forward
2004,2732,Ben,Gordon,Ben Gordon,PG-SG,73.0,6' 1'',74.25,6' 2.25'',192.0,80.5,6' 8.5'',99.0,8' 3'',5.3,,,31.5,37.5,11.28,,3.19,12.0,,,,,,,,,,,,,,,,,,,,,,,,2732.0,Guard
2004,2734,Devin,Harris,Devin Harris,PG,73.75,6' 1.75'',75.0,6' 3'',170.0,79.5,6' 7.5'',98.5,8' 2.5'',5.3,,,30.5,37.0,11.03,,3.19,5.0,,,,,,,,,,,,,,,,,,,,,,,,2734.0,Guard
2004,2730,Dwight,Howard,Dwight Howard,PF-C,81.0,6' 9'',82.25,6' 10.25'',240.0,88.5,7' 4.5'',111.5,9' 3.5'',10.5,,,30.5,35.5,11.21,,3.14,7.0,,,,,,,,,,,,,,,,,,,,,,,,2730.0,Center-Forward
2004,12179,Rolando,Howell,Rolando Howell,PF,79.5,6' 7.5'',80.5,6' 8.5'',229.0,84.5,7' 0.5'',107.0,8' 11'',11.7,,,28.5,34.5,11.91,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2743,Kris,Humphries,Kris Humphries,PF,80.25,6' 8.25'',81.5,6' 9.5'',238.0,84.5,7' 0.5'',106.5,8' 10.5'',6.7,,,29.5,36.0,11.33,,3.2,22.0,,,,,,,,,,,,,,,,,,,,,,,,2743.0,Forward
2004,2738,Andre,Iguodala,Andre Iguodala,SG-SF,77.75,6' 5.75'',78.75,6' 6.75'',217.0,83.0,6' 11'',105.5,8' 9.5'',6.7,,,30.5,34.5,11.17,,3.18,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
